"","No.","Time","Source","Destination","Protocol","Length","Info"
"149698",149698,433.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149699",149699,433.61,"192.168.202.76","64.4.23.146","TCP",70,"[TCP Retransmission] 52054 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149700",149700,433.89,"192.168.202.76","195.46.253.211","TCP",66,"[TCP Retransmission] 52042 > 33033 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149701",149701,433.92,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149702",149702,433.93,"CiscoInc_9d:f2:c5","Broadcast","ARP",64,"Who has 192.168.205.254? Tell 192.168.205.1"
"149703",149703,434.08,"192.168.202.76","111.221.74.17","TCP",70,"[TCP Retransmission] 52055 > 40016 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149704",149704,434.08,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149705",149705,434.16,"192.168.202.97","8.26.56.26","DNS",80,"Standard query 0x3a07 A dns.msftncsi.com"
"149706",149706,434.16,"192.168.202.97","156.154.70.22","DNS",80,"Standard query 0x3a07 A dns.msftncsi.com"
"149707",149707,434.19,"192.168.220.1","224.0.0.10","EIGRP",78,"Hello"
"149708",149708,434.21,"192.168.202.76","157.55.235.140","TCP",70,"[TCP Retransmission] 52056 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149709",149709,434.31,"192.168.202.76","111.221.74.17","TCP",70,"52060 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149710",149710,434.32,"192.168.227.1","224.0.0.10","EIGRP",78,"Hello"
"149711",149711,434.36,"192.168.215.1","224.0.0.10","EIGRP",78,"Hello"
"149712",149712,434.47,"192.168.202.76","213.199.179.161","TCP",66,"[TCP Retransmission] 52043 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149713",149713,434.48,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149714",149714,434.5,"192.168.202.76","111.221.74.37","TCP",66,"[TCP Retransmission] 52044 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149715",149715,434.76,"192.168.219.1","224.0.0.10","EIGRP",78,"Hello"
"149716",149716,434.99,"192.168.202.76","10.10.9.109","SRVLOC",90,"Attribute Request, V1 Transaction ID - 55779"
"149717",149717,434.99,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149718",149718,435,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149719",149719,435.06,"192.168.202.76","213.199.179.154","TCP",66,"[TCP Retransmission] 52045 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149720",149720,435.09,"fe80::216:47ff:fe9d:f2c2","ff02::1","ICMPv6",122,"Router Advertisement from 00:16:47:9d:f2:c2"
"149721",149721,435.23,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2180 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149722",149722,435.23,"192.168.202.76","64.4.23.146","TCP",70,"[TCP Retransmission] 52057 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149723",149723,435.27,"192.168.216.1","224.0.0.10","EIGRP",78,"Hello"
"149724",149724,435.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149725",149725,435.37,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149726",149726,435.37,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149727",149727,435.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149728",149728,435.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149729",149729,435.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149730",149730,435.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149731",149731,435.4,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149732",149732,435.41,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149733",149733,435.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149734",149734,435.44,"192.168.205.1","224.0.0.10","EIGRP",78,"Hello"
"149735",149735,435.52,"192.168.202.76","195.46.253.211","TCP",66,"[TCP Retransmission] 52046 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149736",149736,435.52,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149737",149737,435.54,"192.168.201.1","224.0.0.10","EIGRP",78,"Hello"
"149738",149738,435.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149739",149739,435.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149740",149740,435.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149741",149741,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149742",149742,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149743",149743,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149744",149744,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149745",149745,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149746",149746,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149747",149747,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149748",149748,435.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149749",149749,435.6,"192.168.203.1","224.0.0.10","EIGRP",78,"Hello"
"149750",149750,435.7,"192.168.202.76","111.221.74.17","TCP",70,"[TCP Retransmission] 52059 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149751",149751,435.77,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149752",149752,435.79,"192.168.202.91","192.168.205.253","TLSv1",335,"Application Data"
"149753",149753,435.79,"192.168.202.91","192.168.205.253","TCP",335,"[TCP Retransmission] 50049 > 443 [PSH, ACK] Seq=31325 Ack=21693 Win=20919 Len=277"
"149754",149754,435.79,"192.168.202.91","192.168.205.253","TLSv1",1231,"Application Data"
"149755",149755,435.79,"192.168.202.91","192.168.205.253","TCP",1231,"[TCP Retransmission] 50049 > 443 [PSH, ACK] Seq=31602 Ack=21693 Win=20919 Len=1173"
"149756",149756,435.79,"192.168.205.253","192.168.202.91","TCP",64,"443 > 50049 [ACK] Seq=21693 Ack=32775 Win=126 Len=0"
"149757",149757,435.79,"192.168.205.253","192.168.202.91","TCP",64,"[TCP Dup ACK 149756#1] 443 > 50049 [ACK] Seq=21693 Ack=32775 Win=126 Len=0"
"149758",149758,435.8,"192.168.205.253","192.168.202.91","TLSv1",1060,"Application Data, Application Data"
"149759",149759,435.8,"192.168.205.253","192.168.202.91","TCP",1060,"[TCP Retransmission] 443 > 50049 [PSH, ACK] Seq=21693 Ack=32775 Win=128 Len=1002"
"149760",149760,435.83,"192.168.213.1","224.0.0.10","EIGRP",78,"Hello"
"149761",149761,435.88,"192.168.204.1","224.0.0.10","EIGRP",78,"Hello"
"149762",149762,435.89,"192.168.207.1","224.0.0.10","EIGRP",78,"Hello"
"149763",149763,436.01,"192.168.202.91","192.168.205.253","TCP",64,"50049 > 443 [ACK] Seq=32775 Ack=22695 Win=21170 Len=0"
"149764",149764,436.01,"192.168.202.91","192.168.205.253","TCP",64,"[TCP Dup ACK 149763#1] 50049 > 443 [ACK] Seq=32775 Ack=22695 Win=21170 Len=0"
"149765",149765,436.11,"192.168.202.76","111.221.74.37","TCP",66,"[TCP Retransmission] 52048 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149766",149766,436.11,"192.168.202.76","213.199.179.161","TCP",66,"[TCP Retransmission] 52047 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149767",149767,436.11,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149768",149768,436.22,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2182 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149769",149769,436.22,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2183 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149770",149770,436.23,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2181 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149771",149771,436.23,"192.168.229.1","224.0.0.10","EIGRP",78,"Hello"
"149772",149772,436.23,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2188 > 139 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149773",149773,436.31,"192.168.206.1","224.0.0.10","EIGRP",78,"Hello"
"149774",149774,436.51,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149775",149775,436.53,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149776",149776,436.66,"CiscoInc_9d:f2:8d","CiscoInc_9d:f2:8d","LOOP",60,"Reply"
"149777",149777,436.75,"192.168.228.1","224.0.0.10","EIGRP",78,"Hello"
"149778",149778,436.79,"192.168.208.1","224.0.0.10","EIGRP",78,"Hello"
"149779",149779,436.93,"192.168.211.1","224.0.0.10","EIGRP",78,"Hello"
"149780",149780,436.97,"192.168.202.76","157.55.235.140","TCP",66,"[TCP Retransmission] 52050 > 40010 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149781",149781,436.97,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149782",149782,437.12,"192.168.202.76","195.46.253.211","TCP",66,"[TCP Retransmission] 52051 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149783",149783,437.28,"192.168.214.1","224.0.0.10","EIGRP",78,"Hello"
"149784",149784,437.32,"192.168.202.76","111.221.74.17","TCP",70,"[TCP Retransmission] 52060 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149785",149785,437.36,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149786",149786,437.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149787",149787,437.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149788",149788,437.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149789",149789,437.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149790",149790,437.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149791",149791,437.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149792",149792,437.41,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149793",149793,437.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149794",149794,437.42,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149795",149795,437.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149796",149796,437.48,"2001:dbb:c18:202:f2de:f1ff:fe9b:ad6a","ff02::fb","MDNS",102,"Standard query 0x0000 PTR _plasma._tcp.local, ""QM"" question"
"149797",149797,437.5,"192.168.218.1","224.0.0.10","EIGRP",78,"Hello"
"149798",149798,437.59,"192.168.202.1","224.0.0.10","EIGRP",78,"Hello"
"149799",149799,437.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149800",149800,437.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149801",149801,437.59,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149802",149802,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149803",149803,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149804",149804,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149805",149805,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149806",149806,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149807",149807,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149808",149808,437.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149809",149809,437.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149810",149810,437.61,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149811",149811,437.63,"192.168.217.1","224.0.0.10","EIGRP",78,"Hello"
"149812",149812,437.86,"192.168.212.1","224.0.0.10","EIGRP",78,"Hello"
"149813",149813,437.98,"192.168.202.76","64.4.23.146","TCP",66,"[TCP Retransmission] 52052 > 40019 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149814",149814,437.98,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149815",149815,438.17,"192.168.202.97","8.26.56.26","DNS",80,"Standard query 0x3a07 A dns.msftncsi.com"
"149816",149816,438.17,"192.168.202.97","156.154.70.22","DNS",80,"Standard query 0x3a07 A dns.msftncsi.com"
"149817",149817,438.18,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149818",149818,438.37,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149819",149819,438.4,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149820",149820,438.59,"192.168.202.76","157.55.235.140","TCP",66,"[TCP Retransmission] 52053 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149821",149821,438.59,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149822",149822,438.89,"192.168.227.1","224.0.0.10","EIGRP",78,"Hello"
"149823",149823,438.91,"192.168.220.1","224.0.0.10","EIGRP",78,"Hello"
"149824",149824,438.91,"192.168.215.1","224.0.0.10","EIGRP",78,"Hello"
"149825",149825,438.95,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB HPE8AA67<00>"
"149826",149826,439.13,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149827",149827,439.37,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149828",149828,439.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149829",149829,439.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149830",149830,439.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149831",149831,439.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149832",149832,439.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149833",149833,439.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149834",149834,439.41,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149835",149835,439.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149836",149836,439.43,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149837",149837,439.48,"192.168.219.1","224.0.0.10","EIGRP",78,"Hello"
"149838",149838,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149839",149839,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149840",149840,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149841",149841,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149842",149842,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149843",149843,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149844",149844,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149845",149845,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149846",149846,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149847",149847,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149848",149848,439.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149849",149849,439.62,"192.168.202.76","64.4.23.146","TCP",66,"[TCP Retransmission] 52054 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149850",149850,439.62,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149851",149851,439.96,"192.168.216.1","224.0.0.10","EIGRP",78,"Hello"
"149852",149852,440.07,"192.168.201.1","224.0.0.10","EIGRP",78,"Hello"
"149853",149853,440.1,"192.168.202.76","111.221.74.17","TCP",66,"[TCP Retransmission] 52055 > 40016 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149854",149854,440.12,"192.168.213.1","224.0.0.10","EIGRP",78,"Hello"
"149855",149855,440.16,"CiscoInc_9d:f2:c5","Broadcast","ARP",64,"Who has 192.168.205.254? Tell 192.168.205.1"
"149856",149856,440.21,"192.168.202.76","157.55.235.140","TCP",66,"[TCP Retransmission] 52056 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149857",149857,440.21,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149858",149858,440.21,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149859",149859,440.35,"192.168.205.1","224.0.0.10","EIGRP",78,"Hello"
"149860",149860,440.35,"192.168.204.1","224.0.0.10","EIGRP",78,"Hello"
"149861",149861,440.4,"192.168.203.1","224.0.0.10","EIGRP",78,"Hello"
"149862",149862,440.5,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149863",149863,440.63,"192.168.229.1","224.0.0.10","EIGRP",78,"Hello"
"149864",149864,440.64,"192.168.207.1","224.0.0.10","EIGRP",78,"Hello"
"149865",149865,440.65,"192.168.206.1","224.0.0.10","EIGRP",78,"Hello"
"149866",149866,440.73,"Vmware_98:25:c1","CiscoInc_9d:f2:c2","ARP",64,"Who has 192.168.202.1? Tell 192.168.202.91"
"149867",149867,440.73,"CiscoInc_9d:f2:c2","Vmware_98:25:c1","ARP",64,"192.168.202.1 is at 00:16:47:9d:f2:c2"
"149868",149868,440.98,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149869",149869,441.24,"192.168.202.76","64.4.23.146","TCP",66,"[TCP Retransmission] 52057 > 80 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149870",149870,441.24,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149871",149871,441.37,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149872",149872,441.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149873",149873,441.38,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149874",149874,441.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/140/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149875",149875,441.39,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/150/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149876",149876,441.4,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/160/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149877",149877,441.4,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/170/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149878",149878,441.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/180/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149879",149879,441.42,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/270/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149880",149880,441.43,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/280/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149881",149881,441.53,"192.168.228.1","224.0.0.10","EIGRP",78,"Hello"
"149882",149882,441.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/290/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149883",149883,441.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/211/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149884",149884,441.6,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/212/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149885",149885,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/213/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149886",149886,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149887",149887,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149888",149888,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149889",149889,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149890",149890,441.61,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
