"","No.","Time","Source","Destination","Protocol","Length","Info"
"149046",149046,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/214/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149047",149047,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/215/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149048",149048,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/216/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149049",149049,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/217/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149050",149050,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/218/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149051",149051,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/219/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149052",149052,407.53,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/220/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149053",149053,407.72,"192.168.227.1","224.0.0.10","EIGRP",78,"Hello"
"149054",149054,407.77,"192.168.202.76","157.56.52.25","TCP",70,"[TCP Retransmission] 52027 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149055",149055,407.77,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149056",149056,407.89,"192.168.202.76","111.221.74.26","TCP",70,"52033 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149057",149057,408,"192.168.202.76","111.221.77.147","TCP",66,"[TCP Retransmission] 52013 > 40040 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149058",149058,408.02,"192.168.202.76","64.4.23.145","TCP",66,"[TCP Retransmission] 52014 > 40034 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149059",149059,408.03,"192.168.229.1","224.0.0.10","EIGRP",78,"Hello"
"149060",149060,408.13,"192.168.202.76","192.168.202.255","NBNS",96,"Name query NB WPAD<00>"
"149061",149061,408.18,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149062",149062,408.46,"192.168.204.1","224.0.0.10","EIGRP",78,"Hello"
"149063",149063,408.48,"Cisco-Li_90:f2:11","Spanning-tree-(for-bridges)_00","STP",60,"RST. Root = 32768/0/00:18:f8:90:f1:e0  Cost = 0  Port = 0x8031"
"149064",149064,408.56,"192.168.206.1","224.0.0.10","EIGRP",78,"Hello"
"149065",149065,408.61,"192.168.202.76","157.56.52.14","TCP",66,"[TCP Retransmission] 52015 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149066",149066,408.61,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149067",149067,408.62,"192.168.202.76","10.10.9.109","SRVLOC",90,"Attribute Request, V1 Transaction ID - 56700"
"149068",149068,408.7,"192.168.202.89","10.7.136.63","TCP",66,"[TCP Retransmission] 2168 > 445 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149069",149069,408.8,"192.168.213.1","224.0.0.10","EIGRP",78,"Hello"
"149070",149070,408.83,"192.168.202.76","65.55.223.28","TCP",70,"[TCP Retransmission] 52028 > 443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149071",149071,409,"192.168.214.1","224.0.0.10","EIGRP",78,"Hello"
"149072",149072,409,"192.168.218.1","224.0.0.10","EIGRP",78,"Hello"
"149073",149073,409.01,"192.168.202.89","255.255.255.255","UDP",86,"49156 > 1947 Len=40"
"149074",149074,409.03,"192.168.202.76","111.221.77.155","TCP",66,"[TCP Retransmission] 52016 > 40005 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"149075",149075,409.06,"192.168.208.1","224.0.0.10","EIGRP",78,"Hello"
"149076",149076,409.17,"192.168.211.1","224.0.0.10","EIGRP",78,"Hello"
"149077",149077,409.24,"192.168.202.97","192.168.202.255","NBNS",96,"Name query NB ISATAP<00>"
"149078",149078,409.28,"192.168.202.76","111.221.74.26","TCP",70,"[TCP Retransmission] 52029 > 40008 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"149079",149079,409.28,"192.168.202.1","192.168.202.76","ICMP",74,"Destination unreachable (Host unreachable)"
"149080",149080,409.3,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/110/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149081",149081,409.31,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/120/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
"149082",149082,409.31,"CiscoInc_9d:f2:8d","PVST+","STP",68,"Conf. Root = 32768/130/00:16:47:9d:f2:80  Cost = 0  Port = 0x800d"
